<original institution name>; <institution name without accents>
georgia institute of technology; georgia tech
texas tech university; texas tech
colorado university; university of colorado
arkansas university; university of arkansas
ghent university hosital; ghent university
cambridge university; university of cambridge
microsoft research; microsoft
facebook research; facebook
universita di bologna; university of bologna
unsw; university of new south wales
universitÃ© CÃ´te d'AzurParis; universite cote dAzur
Hospital Universitario de La Ribera; La Ribera University Hospital
universidad de sevilla; sevilla university
uiversity of mami hspital and cinics; university of miami
technische universitat darmsta; technical university of darmstadt
TU Darmstadt; technical university of darmstadt
technische universitat darmstadt; technical university of darmstadt
Technische Universitt Darmstadt; technical university of darmstadt
Technische Universität Darmstadt; technical university of darmstadt
universitat siegen; university of siegen
universitat politecnica de valencia; valencia polytechnic university
universidad politecnica de valencia; valencia polytechnic university
universite clermont auvergne; clermont auvergne university
Università Bocconi; Bocconi University
Universita Bocconi; Bocconi University
Universit Bocconi; Bocconi University
University of Medellxadn; University of Medellin
Universidade de Medellxadn; University of Medellin
università di catania; university of catania
universita di catania; university of catania
universidade de lisboa; university of lisbon
universidad de cordoba; university of cordoba
universidade federal de viosa; federal university of vicosa
Universidade Federal de Viçosa; federal university of vicosa
Technical University of Delft; delft university of technology
Institut Polytechnique de Paris; polytechnic institute of paris
Universitxa0 degli Studi di Trento; university of trento
Università degli Studi di Trento; university of trento
Universidad Europea del Atlntico; european atlantic university
Universidade Federal de Ouro Preto; federal university of ouro preto
Universidade Federal de Juiz de Fora; juiz de fora federal university
Universidade Federal de Minas Gerais; federal university of minas gerais
Centro Hospitalar Universitrio de Lisboa Central; central lisbon university hospital center
Centro Hospitalar Universitário de Lisboa Central; central lisbon university hospital center
Universidad Autnoma de Guerrero; autonomous university of guerrero
Universidad Autónoma de Guerrero; autonomous university of guerrero
Tecnológico Nacional de México; national technological institute of mexico
Universidad Politécnica de Tlaxcala; polytechnic university of tlaxcala
Universidad Autónoma de San Luis Potosí; autonomous university of san luis potosi
Instituto Universitrio de Lisboa; university institute of lisbon
Instituto Universitário de Lisboa; university institute of lisbon
Instituto Politcnico de Tomar; tomar polytechnic institute
Instituto Politécnico de Tomar; tomar polytechnic institute
Pontificia Universidad Catlica de Chile; pontifical catholic university of chile
Pontificia Universidad Católica de Chile; pontifical catholic university of chile
Universidad de Valparaiso; valparaiso university
Universitt Bayreuth; university of bayreuth
Université du Québec à Rimouski; university of quebec at rimouski
Université Libre de Bruxelles; free university of brussels
Università degli Studi di Urbino Carlo Bo; university of urbino carlo bo
Université Laval; laval university
Universite Laval; laval university
Universite Laval; laval university
Universidad de Santiago de Chile; university of santiago chile
Universitat Erlangen Nurnberg; University of Erlangen–Nuremberg
Universität Erlangen-Nürnberg; University of Erlangen–Nuremberg
Institut polytechnique de Paris; Polytechnic Institute of Paris
Universitat Pompeu Fabra; Pompeu Fabra Univerisity
Technische Universitt Dresden; Technische Universitt Dresden  
Technische Universität Dresden; Technische Universitt Dresden
Bergische Universitt Wuppertal; University of Wuppertal
Bergische Universität Wuppertal; University of Wuppertal
Universitt Stuttgart; University of Stuttgart
Universität Stuttgart; University of Stuttgart
Universidad Autnoma de Madrid; Autonomous University of Madrid
Universidad Autónoma de Madrid; Autonomous University of Madrid
Universität Tübingen; University of Tubingen
Universitt Tbingen; University of Tubingen
Universitat Tubingen; University of Tubingen
Mardin Artuklu Universitesi; Mardin Artuklu University
Universidad de la Habana; University of Havana
Universidad de la Havana; University of Havana
Universidade de Havana; University of Havana
Bauhaus-Universität Weimar; Bauhaus University Weimar
Bauhaus-Universitt Weimar; Bauhaus University Weimar
BauhausUniversitt Weimar; Bauhaus University Weimar
Universitas Mulawarman; Mulawarman University
TH Köln University of Applied Sciences; TH Koln University of Applied Sciences
TH Kln University of Applied Sciences; TH Koln University of Applied Sciences
Penn State University; Pennsylvania State University
TU Graz; Graz University of Technology
Università Cattolica del Sacro Cuore; Catholic University of the Sacred Heart
Universit Cattolica del Sacro Cuore; Catholic University of the Sacred Heart
Universita Cattolica del Sacro Cuore; Catholic University of the Sacred Heart
Universitat de Barcelona; University of Barcelona
Università di Torino; University of Turin
Universit di Torino; University of Turin
Pontificia Universidad Javeriana; Pontifical Javierian University
Universidad Peruana Cayetano Heredia; University of Peruana Cayetano Heredia
Universidade Federal de Ciências da Saúde de Porto Alegre; Federal University of Health Sciences of Porto Alegre
Universidade Federal de Ciencias da Saude de Porto Alegre; Federal University of Health Sciences of Porto Alegre
Universidade de Brasília; University of Brasilia
University of Braslia; University of Brasilia
University of Brasilia; University of Brasilia
Universiti Sultan Zainal; Abidin Sultan Zainal Abidin University
Universiti Kuala Lumpur; University of Kuala Lumpur
Universitas Sumatera Utara; University of North Sumatra
University of Sumatera Utara; University of North Sumatra
Marie Cederschiöld Högskola; Marie Cederschiold University
Universitat Pompeu Fabra; Pompeu Fabra University
Institut Català de la salut; Catalan Health Institute
Universidad de las Américas; University of the Americas
Universidad de las Americas; University of the Americas
Universidad Mayor; Major university
Azienda Unità Sanitaria Locale Reggio Emilia; Reggio Emilia Local Health Unit Company
Azienda Unita Sanitaria Locale Reggio Emilia; Reggio Emilia Local Health Unit Company
Azienda Unit Sanitaria Locale Reggio Emilia; Reggio Emilia Local Health Unit Company
Technische Hochschule Nürnberg Georg Simon Ohm; Nuremberg Institute of Technology 
Technische Hochschule Nrnberg Georg Simon Ohm; Nuremberg Institute of Technology 
Technische Hochschule Nurnberg Georg Simon Ohm; Nuremberg Institute of Technology 
Université de Montréal; university of montreal
Universite de Montreal; university of montreal
Universit de Montral; university of montreal
Åbo Akademi University; Abo Akademi University
bo Akademi University; Abo Akademi University
L'Institut supérieur de gestion; Institut Superieur de Gestion
Institut superieur de gestion; Institut Superieur de Gestion
Pontifícia Universidade Católica do Paraná; Pontifical Catholic University of Parana
Pontificia Universidade Catolica do Paraná; Pontifical Catholic University of Parana
Pontifcia Universidade Catlica do Paran; Pontifical Catholic University of Parana
Universidade Tecnológica Federal do Paraná; Federal University of Technology Parana
Universidade Tecnolgica Federal do Paran; Federal University of Technology Parana
Universidade Tecnologica Federal do Parana; Federal University of Technology Parana
TU Delft; Delft University of Technology
Universidade do Porto; University of Porto
Institutele Academiei Române; Institutes of the Romanian Academy
Institutele Academiei Romne; Institutes of the Romanian Academy
